ID,Team,Number,Name,Position,Height,Weight
417,Detroit,50,Jonas Gustavsson   **,G,76,212
418,Detroit,35,Jimmy Howard   **,G,73,218
419,Detroit,38,Tom McCollum  ,G,74,226
420,Detroit,34,Petr Mrazek  ,G,74,183
442,Florida,1,Roberto Luongo  ,G,75,217
443,Florida,35,Al Montoya  ,G,74,203
464,Montreal,39,Joey MacDonald  ,G,72,197
465,Montreal,31,Carey Price  ,G,75,216
466,Montreal,35,Dustin Tokarski  ,G,71,195
490,Ottawa,41,Craig Anderson  ,G,74,184
491,Ottawa,40,Robin Lehner  ,G,77,225
515,Tampa Bay,30,Ben Bishop  ,G,79,214
516,Tampa Bay,20,Evgeni Nabokov  ,G,72,202
538,Toronto,45,Jonathan Bernier  ,G,72,185
539,Toronto,34,James Reimer  ,G,74,208
561,Carolina,31,Anton Khudobin  ,G,71,203
562,Carolina,30,Cam Ward  ,G,73,185
589,Columbus,72,Sergei Bobrovsky  ,G,74,182
590,Columbus,30,Curtis McElhinney  ,G,75,205
617,New Jersey,1,Keith Kinkaid  ,G,74,195
618,New Jersey,35,Cory Schneider  ,G,74,205
642,New York Islanders,41,Jaroslav Halak  ,G,71,186
643,New York Islanders,30,Chad Johnson  ,G,75,193
666,Philadelphia,29,Ray Emery  ,G,74,196
667,Philadelphia,35,Steve Mason  ,G,76,217
668,Philadelphia,72,Rob Zepp  ,G,72,181
693,Pittsburgh,29,Marc-Andre Fleury  ,G,74,180
694,Pittsburgh,1,Thomas Greiss  ,G,73,220
716,Washington,70,Braden Holtby  ,G,74,203
717,Washington,35,Justin Peters  ,G,73,210
747,New York Rangers,30,Henrik Lundqvist,G,73,182
748,New York Rangers,33,Cam Talbot,G,76,201
1,Anaheim,39,Matt Beleskey  ,L,72,204
2,Anaheim,14,Rene Bourque  ,L,74,214
7,Anaheim,19,Patrick Maroon  ,L,74,231
25,Arizona,89,Mikkel Boedker  ,L,72,211
32,Arizona,28,Lauri Korpikoski  ,L,73,205
33,Arizona,38,Lucas Lessio  ,L,73,212
34,Arizona,22,Brandon McMillan  ,L,71,190
